name,packageId
KAKAO WEBTOON,com.kakaoent.kakaowebtoon
LINE WEBTOON 每日漫畫,com.naver.linewebtoon
iQIYI - 請君全網首播,com.iqiyi.i18n
寵物島 Livly Island　與寵物同住的小島,jp.cocone.livly
Whoscall – 防詐騙，交給來電辨識App,gogolook.callgogolook2
Tinder - 跟全世界交朋友,com.tinder
Wave - 語音直播，聊天交友,com.wave.waveradio
Dino - 遇見新朋友,com.naviemu.dino
Fate/Grand Order,com.xiaomeng.fategrandorder
賽馬娘Pretty Derby,com.komoe.kmumamusumegp
神來也撲克 - 大老二、接龍、鬥地主、十三支、鋤大D,com.godgame.bigtwo.android
德州撲克 神來也德州撲克(Texas Poker),com.godgame.texasholdem.android
麻雀 神來也麻雀 – 廣東麻雀&香港麻雀&跑馬仔,com.godgame.mj13.android
神來也暗棋2：線上暗棋、象棋麻將,com.gamesofa.android.allchess
鬥地主 神來也斗地主,com.godgame.landlord.android
聖鑰-與許瑋甯解鎖六神格,com.jiumengsp.twgp
惡月十三 - Undecember,com.linegames.udg
奇蹟MU：經典之戰 - Tank 陳小春邀您贏川崎,com.fivering.mu.an
T3 Arena,com.xd.t3.global
小小蟻國,com.allstarunion.ta.tw
決勝時刻®: Mobile - Garena,com.garena.game.codm
二之國：交錯世界,com.netmarble.ennt
花亦山心之月,com.hermes.global.ygame
Partying - 線上派對，遇見新朋友,com.imbb.oversea.android
PUBG MOBILE,com.tencent.ig
戰車世界：閃擊戰,net.wargaming.wot.blitz
月兔養成,com.AbleGames.DalToKi
彈彈堂 Origin,vnggames.ddtank.origin.twhk.my
鋼彈 爭鋒對決,com.bandainamcoent.gundambattle.tw
悠久之樹,com.komoe.eternaltree
戰雙帕彌什：末世科幻3D動作遊戲,com.herogame.gplay.punishing.grayraven.tw
MLB Perfect Inning: Ultimate,com.com2ususa.mlbpiul.android.google.global.normal
魔鏡物語-童話都是騙人的,com.magics.gp
海賊物語,com.ifgames.piratesstoryjp
無界：交錯時刻,com.winwaygame.war
神寶聯盟：未來之戰,com.sblmwlzz.google
決勝時刻 國際服,com.activision.callofduty.shooter
不休的烏拉拉,tw.txwy.and.wll
新世界:奇跡之旅,com.dtci.fmop.ycfl
魔力寶貝：新世界,com.mover.twmlbb
龍之谷：新世界,com.gamania.twwod
夢想新大陸-新世界,com.szn.gat.mxxdl.gp
率土之濱,com.gamedreamer.tw.newstzbtw
Spotify - 音樂和 Podcast,com.spotify.music
Spotify - 音樂與 Podcast,com.spotify.tv.android
小小仙尊,com.adaric.xxxz.idle
轟隆隆傭兵團,com.playhardlab.heroes
謀攻：天下為局,com.gacraze.dmsg
今天也闖地牢 : 放置型RPG遊戲,com.cookapps.afkdungeon
靈蛇奇緣 - 高爆仙俠MMO,com.baishemmo.gp
跑跑卡丁車：飄移,com.nexon.kartdrift
王牌競速,com.netease.racerhmt
龍與世界的盡頭,com.zuduifangzhi.tw
動物王者：趣味大逃殺遊戲 (Zooba),com.wildlife.games.battle.royale.free.zooba
黎明再現(Doomsday: Last Survivors),com.igg.android.doomsdaylastsurvivors
NIIMBOT,com.gengcon.android.jccloudprinter
蛇蛇貪吃,com.habby.sssnaker
壞彈聯盟,com.ddgatxm.dd
王國衝突：史詩戰鬥,azurgames.idle.war
王都創世物語,net.kairosoft.android.kingdom_en
神王城堡,com.awesomepiece.castle
打工探吉 - 專找離你最近的打工,com.m104tanji
MIYA - 遇見好聲音,com.airlive.miya
風起三國之亂世逐鹿-無限首抽 無損重置,com.topjoy.tkw.hk
永恆島LaTale - 彩虹島正版授權,com.lataletw.gp
鬥雀麻將-十三支、射龍門、四人麻將、雙人麻將各式棋牌遊戲,com.gamesoultech.leagueofmahjong
決戰羽毛球 -多人體育競技遊戲,badminton.blitz.sports.free.game.android
Lumber Inc Tycoon,com.stereo7games.lumber
Garena 黎明覺醒,com.garena.game.lmjx
HIT2,com.nexon.hit2tw
神蹟：血舞者,com.dragon.twigp
英雄你好狗-送999抽,com.fungohero.tw.and
SS:光之編年史,com.gacraze.ydgyn
怪物彈珠 - RPG手機遊戲,jp.co.mixi.monsterstrikeTW
崩壞：星穹鐵道,com.HoYoverse.hkrpgoversea
泡泡龍 - 泡泡魔法傳奇3,linkdesks.pop.bubblegames.bubbleshooter
彩虹冒險王,com.chlr.aos
棒球殿堂Rise,tw.com.joybomb.pi2017
Netflix,com.netflix.mediaclient
LINE 旅遊大亨,com.linecorp.LGGRTW
旅遊大亨2：Meta World,com.netmarble.metaworld
Pokémon Sleep,jp.pokemon.pokemonsleep
無名騎士團：像素的英雄,com.cookapps.bm.unknownknight
街頭激鬥,com.jtjd.gam
西遊：燃魂,com.gecho.xyrh
罪惡之城: City of Crime,com.ratinggame.cocglb.gplay
半神養成記,com.superplanet.demigod
劍靈2,com.ncsoft.bns219
小妖問道,com.global.xddq
英雄誓約HERO ALLIN,com.morefun.hai
月光魔盜團,com.dvsyopin.twgp
Monster Hunter Now,com.nianticlabs.monsterhunter
SMASH LEGENDS : 傳奇大亂鬥,com.linegames.sl
闇影詩章,com.cygames.Shadowverse
霓虹深淵：無限,com.xd.nai.gp.tw2
刀鋒養成,com.mobirix.mbbi
雨傘少女掛機類手遊,com.gamepub.ub.g
巔峰極速,com.longe.racehmt
守護德比,com.krafton.defensederby
卡利茲傳說,com.gamebeans.gp.lzgwy
滋滋先鋒隊,com.doomsdayvanguard.survivor
天龍八部榮耀版-創角瓜分10億元寶,com.cxhwft.zsgat
英雄戰紀：迷你世界,com.idle.hero.dc.game
美圖秀秀-美顏修圖&AI繪畫,com.mt.mtxx.mtxx
貪吃蛇進化論,com.woyou.snakemerge.googleplay
S激鬥：超賽英雄,com.sbattlesevenun.gp
Arena Breakout - 暗區突圍,com.tw.mf.uamo
菇勇者傳說-送3000抽,com.mxdzz.tw.and
TFT 聯盟戰棋,com.riotgames.league.teamfighttacticstw
黎明啟示錄,com.moonton.mobilehero
交友軟體 Paktor 拍拖- 配對聊天約會戀愛社交 App,com.paktor
ZEPETO：人偶、聊天、玩遊戲,me.zepeto.main
Litmatch - 遇見新麻吉,com.litatom.app
Blockman Go,com.sandboxol.blockymods
Standoff 2,com.axlebolt.standoff2
